Data Point Listing of File E:\testdata\LiCl_ref1.tnt
Starting Point:	1	Ending Point:	8192
Real	Imag	usec
-440.000	-281.000	0.000
-884.000	-538.000	50.000
-895.000	-520.000	100.000
-910.000	-496.000	150.000
-916.000	-485.000	200.000
-916.000	-457.000	250.000
-930.000	-434.000	300.000
-928.000	-415.000	350.000
-935.000	-396.000	400.000
-939.000	-382.000	450.000
-942.000	-355.000	500.000
-943.000	-337.000	550.000
-938.000	-315.000	600.000
-938.000	-296.000	650.000
-938.000	-279.000	700.000
-928.000	-259.000	750.000
-925.000	-239.000	800.000
-923.000	-220.000	850.000
-907.000	-201.000	900.000
-902.000	-178.000	950.000
-894.000	-162.000	1000.000
-886.000	-148.000	1050.000
-876.000	-132.000	1100.000
-867.000	-111.000	1150.000
-851.000	-99.000	1200.000
-837.000	-80.000	1250.000
-827.000	-63.000	1300.000
-815.000	-56.000	1350.000
-802.000	-39.000	1400.000
-782.000	-27.000	1450.000
-769.000	-15.000	1500.000
-762.000	-6.000	1550.000
-741.000	5.000	1600.000
-722.000	14.000	1650.000
-709.000	19.000	1700.000
-690.000	24.000	1750.000
-679.000	31.000	1800.000
-659.000	38.000	1850.000
-638.000	44.000	1900.000
-630.000	47.000	1950.000
-611.000	54.000	2000.000
-590.000	52.000	2050.000
-579.000	57.000	2100.000
-561.000	60.000	2150.000
-553.000	58.000	2200.000
-536.000	61.000	2250.000
-520.000	59.000	2300.000
-505.000	65.000	2350.000
-492.000	63.000	2400.000
-476.000	59.000	2450.000
-463.000	59.000	2500.000
-451.000	56.000	2550.000
-441.000	60.000	2600.000
-427.000	59.000	2650.000
-419.000	50.000	2700.000
-400.000	42.000	2750.000
-390.000	40.000	2800.000
-383.000	39.000	2850.000
-372.000	36.000	2900.000
-355.000	24.000	2950.000
-356.000	26.000	3000.000
-348.000	22.000	3050.000
-336.000	15.000	3100.000
-330.000	14.000	3150.000
-324.000	13.000	3200.000
-320.000	10.000	3250.000
-311.000	4.000	3300.000
-309.000	-2.000	3350.000
-301.000	-7.000	3400.000
-291.000	-11.000	3450.000
-292.000	-17.000	3500.000
-283.000	-16.000	3550.000
-279.000	-24.000	3600.000
-279.000	-25.000	3650.000
-273.000	-24.000	3700.000
-271.000	-33.000	3750.000
-266.000	-27.000	3800.000
-260.000	-30.000	3850.000
-261.000	-38.000	3900.000
-260.000	-39.000	3950.000
-253.000	-41.000	4000.000
-254.000	-46.000	4050.000
-245.000	-42.000	4100.000
-250.000	-41.000	4150.000
-244.000	-49.000	4200.000
-245.000	-45.000	4250.000
-243.000	-46.000	4300.000
-238.000	-41.000	4350.000
-239.000	-45.000	4400.000
-238.000	-42.000	4450.000
-235.000	-44.000	4500.000
-232.000	-41.000	4550.000
-231.000	-39.000	4600.000
-229.000	-49.000	4650.000
-227.000	-43.000	4700.000
-227.000	-36.000	4750.000
-223.000	-41.000	4800.000
-223.000	-35.000	4850.000
-217.000	-42.000	4900.000
-218.000	-41.000	4950.000
-212.000	-37.000	5000.000
-211.000	-35.000	5050.000
-207.000	-35.000	5100.000
-197.000	-31.000	5150.000
-199.000	-30.000	5200.000
-201.000	-29.000	5250.000
-194.000	-25.000	5300.000
-197.000	-33.000	5350.000
-195.000	-27.000	5400.000
-193.000	-19.000	5450.000
-190.000	-16.000	5500.000
-188.000	-20.000	5550.000
-181.000	-26.000	5600.000
-175.000	-20.000	5650.000
-177.000	-26.000	5700.000
-176.000	-23.000	5750.000
-167.000	-20.000	5800.000
-171.000	-13.000	5850.000
-167.000	-21.000	5900.000
-161.000	-19.000	5950.000
-162.000	-14.000	6000.000
-164.000	-18.000	6050.000
-159.000	-17.000	6100.000
-159.000	-19.000	6150.000
-155.000	-10.000	6200.000
-148.000	-14.000	6250.000
-148.000	-19.000	6300.000
-148.000	-19.000	6350.000
-144.000	-14.000	6400.000
-141.000	-15.000	6450.000
-140.000	-11.000	6500.000
-134.000	-11.000	6550.000
-139.000	-14.000	6600.000
-134.000	-12.000	6650.000
-134.000	-9.000	6700.000
-128.000	-16.000	6750.000
-127.000	-16.000	6800.000
-124.000	-22.000	6850.000
-130.000	-20.000	6900.000
-123.000	-15.000	6950.000
-123.000	-17.000	7000.000
-121.000	-18.000	7050.000
-120.000	-13.000	7100.000
-123.000	-18.000	7150.000
-116.000	-19.000	7200.000
-116.000	-16.000	7250.000
-118.000	-17.000	7300.000
-116.000	-18.000	7350.000
-118.000	-12.000	7400.000
-116.000	-13.000	7450.000
-121.000	-15.000	7500.000
-121.000	-17.000	7550.000
-118.000	-16.000	7600.000
-115.000	-13.000	7650.000
-113.000	-13.000	7700.000
-116.000	-10.000	7750.000
-115.000	-10.000	7800.000
-112.000	-10.000	7850.000
-113.000	-15.000	7900.000
-114.000	-9.000	7950.000
-111.000	-9.000	8000.000
-107.000	-10.000	8050.000
-104.000	-14.000	8100.000
-109.000	-12.000	8150.000
-109.000	-4.000	8200.000
-109.000	-14.000	8250.000
-108.000	-11.000	8300.000
-107.000	-10.000	8350.000
-109.000	-11.000	8400.000
-109.000	-4.000	8450.000
-108.000	-4.000	8500.000
-106.000	-4.000	8550.000
-104.000	-2.000	8600.000
-100.000	-5.000	8650.000
-100.000	-4.000	8700.000
-100.000	-4.000	8750.000
-103.000	-3.000	8800.000
-99.000	-6.000	8850.000
-100.000	0.000	8900.000
-99.000	-2.000	8950.000
-97.000	-1.000	9000.000
-95.000	-5.000	9050.000
-100.000	0.000	9100.000
-94.000	-3.000	9150.000
-97.000	1.000	9200.000
-94.000	0.000	9250.000
-89.000	-3.000	9300.000
-92.000	0.000	9350.000
-92.000	6.000	9400.000
-93.000	-2.000	9450.000
-90.000	-2.000	9500.000
-90.000	-5.000	9550.000
-90.000	-3.000	9600.000
-85.000	-1.000	9650.000
-84.000	-3.000	9700.000
-84.000	-1.000	9750.000
-85.000	-6.000	9800.000
-84.000	-3.000	9850.000
-82.000	2.000	9900.000
-82.000	-4.000	9950.000
-77.000	6.000	10000.000
-81.000	-4.000	10050.000
-78.000	-2.000	10100.000
-73.000	2.000	10150.000
-78.000	0.000	10200.000
-79.000	-2.000	10250.000
-83.000	-5.000	10300.000
-79.000	-7.000	10350.000
-79.000	-3.000	10400.000
-74.000	-2.000	10450.000
-74.000	-3.000	10500.000
-68.000	-3.000	10550.000
-77.000	2.000	10600.000
-74.000	-4.000	10650.000
-71.000	-6.000	10700.000
-70.000	-4.000	10750.000
-62.000	-2.000	10800.000
-74.000	-2.000	10850.000
-68.000	-4.000	10900.000
-72.000	-4.000	10950.000
-67.000	-3.000	11000.000
-66.000	-5.000	11050.000
-71.000	1.000	11100.000
-68.000	-5.000	11150.000
-62.000	-2.000	11200.000
-63.000	-9.000	11250.000
-61.000	-4.000	11300.000
-61.000	-4.000	11350.000
-61.000	-4.000	11400.000
-59.000	-6.000	11450.000
-60.000	-6.000	11500.000
-62.000	0.000	11550.000
-59.000	-5.000	11600.000
-64.000	-5.000	11650.000
-61.000	-3.000	11700.000
-61.000	-8.000	11750.000
-59.000	-7.000	11800.000
-58.000	-3.000	11850.000
-60.000	-6.000	11900.000
-60.000	-7.000	11950.000
-55.000	-3.000	12000.000
-62.000	-6.000	12050.000
-56.000	-5.000	12100.000
-52.000	-2.000	12150.000
-57.000	-4.000	12200.000
-54.000	-8.000	12250.000
-54.000	-9.000	12300.000
-52.000	-6.000	12350.000
-58.000	-9.000	12400.000
-53.000	-9.000	12450.000
-52.000	-7.000	12500.000
-55.000	-3.000	12550.000
-49.000	-4.000	12600.000
-53.000	-5.000	12650.000
-50.000	-9.000	12700.000
-53.000	-1.000	12750.000
-51.000	-5.000	12800.000
-57.000	-2.000	12850.000
-45.000	-3.000	12900.000
-53.000	0.000	12950.000
-54.000	-2.000	13000.000
-48.000	-8.000	13050.000
-45.000	-5.000	13100.000
-44.000	1.000	13150.000
-48.000	-4.000	13200.000
-48.000	0.000	13250.000
-52.000	-6.000	13300.000
-45.000	-6.000	13350.000
-48.000	2.000	13400.000
-40.000	-5.000	13450.000
-46.000	1.000	13500.000
-51.000	-6.000	13550.000
-42.000	-3.000	13600.000
-46.000	-3.000	13650.000
-46.000	-1.000	13700.000
-41.000	-3.000	13750.000
-43.000	0.000	13800.000
-37.000	1.000	13850.000
-45.000	-6.000	13900.000
-46.000	3.000	13950.000
-35.000	4.000	14000.000
-37.000	-3.000	14050.000
-44.000	-1.000	14100.000
-37.000	-9.000	14150.000
-34.000	-5.000	14200.000
-40.000	5.000	14250.000
-34.000	2.000	14300.000
-30.000	4.000	14350.000
-33.000	3.000	14400.000
-33.000	-2.000	14450.000
